case_id,expected_mode,expected_skill,difficulty,A0_routing,A0_top1,A0_accept,A0_skill,B0_routing,B0_top1,B0_accept,B0_skill,C0_routing,C0_top1,C0_accept,C0_skill,D0_routing,D0_top1,D0_accept,D0_skill,E0_routing,E0_top1,E0_accept,E0_skill,A1_routing,A1_top1,A1_accept,A1_skill,B1_routing,B1_top1,B1_accept,B1_skill,C1_routing,C1_top1,C1_accept,C1_skill,E1_routing,E1_top1,E1_accept,E1_skill,S1_routing,S1_top1,S1_accept,S1_skill,S0_routing,S0_top1,S0_accept,S0_skill,D1_routing,D1_top1,D1_accept,D1_skill,A0f_routing,A0f_top1,A0f_accept,A0f_skill,B0f_routing,B0f_top1,B0f_accept,B0f_skill,C0f_routing,C0f_top1,C0f_accept,C0f_skill,D0f_routing,D0f_top1,D0f_accept,D0f_skill,E0f_routing,E0f_top1,E0f_accept,E0f_skill,S0f_routing,S0f_top1,S0f_accept,S0f_skill,F0f_routing,F0f_top1,F0f_accept,F0f_skill,A1f_routing,A1f_top1,A1f_accept,A1f_skill,B1f_routing,B1f_top1,B1f_accept,B1f_skill,C1f_routing,C1f_top1,C1f_accept,C1f_skill,D1f_routing,D1f_top1,D1f_accept,D1f_skill,E1f_routing,E1f_top1,E1f_accept,E1f_skill,S1f_routing,S1f_top1,S1f_accept,S1f_skill,F1f_routing,F1f_top1,F1f_accept,F1f_skill
dy-12,dynamic,,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
dy-13,dynamic,,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
dy-14,dynamic,,easy,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
dy-15,dynamic,,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1
dy-16,dynamic,,easy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
dy-17,dynamic,,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
dy-18,dynamic,,easy,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
dy-19,dynamic,,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
dy-20,dynamic,,easy,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
dy-21,dynamic,,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,1,1.0,1.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1
dy-22,dynamic,,easy,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1
dy-23,dynamic,,easy,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1
dy-24,dynamic,,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1
dy-25,dynamic,,easy,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1
dy-26,dynamic,,easy,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,1.0,1.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1
dy-27,dynamic,,easy,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1
dy-28,dynamic,,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1
dy-29,dynamic,,easy,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1
dy-30,dynamic,,easy,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1
dy-31,dynamic,,easy,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1
dy-32,dynamic,,easy,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1
dy-33,dynamic,,easy,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1
dy-34,dynamic,,easy,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1
dy-35,dynamic,,easy,1,1.0,1.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,1.0,1.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,1.0,1.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,1.0,1.0,1
dy-36,dynamic,,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1
dy-37,dynamic,,easy,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,1.0,1.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,1.0,1.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,1.0,1.0,1
dy-38,dynamic,,easy,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1
dy-39,dynamic,,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1
dy-40,dynamic,,easy,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.5,0.5,1
